서울특별시 용산구 이촌제2동(1117064000),8494,8494,537,516,907,1427,1230,1369,1350,732,366,56,4,3997,3997,274,256,453,724,610,635,602,316,116,11,0,4497,4497,263,260,454,703,620,734,748,416,250,45,4
서울특별시 용산구 이태원제1동(1117065000),6824,6824,235,267,1083,1138,879,1095,1075,612,357,76,7,3286,3286,112,135,578,620,434,513,499,237,137,20,1,3538,3538,123,132,505,518,445,582,576,375,220,56,6
서울특별시 용산구 이태원제2동(1117066000),9190,9190,423,473,1402,1678,1416,1274,1203,819,428,72,2,4246,4246,217,213,699,832,689,568,503,346,158,21,0,4944,4944,206,260,703,846,727,706,700,473,270,51,2
서울특별시 용산구 한남동(1117068500),20738,20738,1147,1175,2708,3902,3357,3220,2779,1572,718,145,15,9990,9990,609,576,1382,1911,1665,1546,1287,687,279,42,6,10748,10748,538,599,1326,1991,1692,1674,1492,885,439,103,9
서울특별시 용산구 서빙고동(1117069000),13115,13115,773,1457,1795,1496,2422,2232,1458,785,601,93,3,6286,6286,396,727,887,731,1145,1102,729,315,218,35,1,6829,6829,377,730,908,765,1277,1130,729,470,383,58,2
서울특별시 용산구 보광동(1117070000),14007,14007,439,766,2190,2132,2053,2464,2063,1237,578,81,4,6907,6907,235,436,1207,1186,1023,1194,896,518,185,26,1,7100,7100,204,330,983,946,1030,1270,1167,719,393,55,3
서울특별시 성동구 (1120000000),291534,291534,19940,19576,44600,48132,44433,47016,37230,20622,8748,1135,102,142277,142277,10170,9766,22023,23639,22258,23433,18187,9178,3287,302,34,149257,149257,9770,9810,22577,24493,22175,23583,19043,11444,5461,833,68
서울특별시 성동구 왕십리제2동(1120052000),16894,16894,1190,1189,2461,2905,2584,2751,2134,1179,441,58,2,8183,8183,589,606,1169,1454,1290,1331,1040,512,177,14,1,8711,8711,601,583,1292,1451,1294,1420,1094,667,264,44,1
서울특별시 성동구 왕십리도선동(1120053500),26832,26832,2312,1573,4305,4631,4043,4403,3085,1633,746,99,2,12807,12807,1200,800,1999,2148,2016,2091,1526,735,269,23,0,14025,14025,1112,773,2306,2483,2027,2312,1559,898,477,76,2
서울특별시 성동구 마장동(1120054000),22608,22608,1183,1638,4261,3228,2995,3675,3046,1737,729,106,10,11167,11167,604,811,2157,1673,1505,1803,1510,781,295,26,2,11441,11441,579,827,2104,1555,1490,1872,1536,956,434,80,8
서울특별시 성동구 사근동(1120055000),11973,11973,416,820,4658,1571,1129,1294,968,743,326,38,10,6138,6138,220,358,2547,871,598,634,450,322,124,9,5,5835,5835,196,462,2111,700,531,660,518,421,202,29,5
서울특별시 성동구 행당제1동(1120056000),14039,14039,972,998,2228,2252,2172,2276,1682,985,402,61,11,6778,6778,492,479,1080,1097,1065,1103,842,437,158,22,3,7261,7261,480,519,1148,1155,1107,1173,840,548,244,39,8
서울특별시 성동구 행당제2동(1120057000),23807,23807,1777,2068,2980,3640,3992,3922,2868,1744,723,90,3,11163,11163,880,941,1402,1731,1925,1914,1323,753,272,21,1,12644,12644,897,1127,1578,1909,2067,2008,1545,991,451,69,2
서울특별시 성동구 응봉동(1120058000),15667,15667,1168,1632,1767,2222,2890,2496,1701,1168,547,68,8,7443,7443,594,803,865,1089,1383,1220,762,504,202,19,2,8224,8224,574,829,902,1133,1507,1276,939,664,345,49,6
서울특별시 성동구 금호1가동(1120059000),15621,15621,1281,1062,1822,2674,2557,2363,2156,1123,520,62,1,7451,7451,634,557,914,1232,1308,1137,984,487,181,17,0,8170,8170,647,505,908,1442,1249,1226,1172,636,339,45,1
서울특별시 성동구 금호2.3가동(1120061500),23117,23117,1725,1423,2835,4157,3693,3682,2993,1744,763,95,7,11008,11008,890,699,1433,1995,1810,1755,1384,754,254,31,3,12109,12109,835,724,1402,2162,1883,1927,1609,990,509,64,4
서울특별시 성동구 금호4가동(1120062000),14564,14564,1350,959,1478,2692,2583,2114,1817,1068,444,55,4,6941,6941,690,499,745,1259,1273,1048,810,447,152,16,2,7623,7623,660,460,733,1433,1310,1066,1007,621,292,39,2
서울특별시 성동구 옥수동(1120064500),26445,26445,2547,1657,2885,5018,4462,3892,3298,1754,776,138,18,12309,12309,1268,858,1317,2254,2192,1793,1512,766,307,37,5,14136,14136,1279,799,1568,2764,2270,2099,1786,988,469,101,13
서울특별시 성동구 성수1가제1동(1120065000),16885,16885,1004,1122,2642,2884,2410,3150,2250,981,398,41,3,8450,8450,541,584,1366,1442,1169,1599,1138,452,143,14,2,8435,8435,463,538,1276,1442,1241,1551,1112,529,255,27,1
서울특별시 성동구 성수1가제2동(1120066000),13116,13116,722,876,2107,2391,2010,2019,1704,897,352,36,2,6452,6452,373,443,1033,1173,975,1043,849,430,124,7,2,6664,6664,349,433,1074,1218,1035,976,855,467,228,29,0
서울특별시 성동구 성수2가제1동(1120067000),16364,16364,801,868,2256,2599,2263,3090,2663,1264,488,59,13,8553,8553,423,447,1185,1401,1210,1669,1423,579,204,9,3,7811,7811,378,421,1071,1198,1053,1421,1240,685,284,50,10
서울특별시 성동구 성수2가제3동(1120069000),11105,11105,579,520,1990,1947,1454,1806,1546,841,369,46,7,5619,5619,299,268,929,1019,748,968,826,394,145,20,3,5486,5486,280,252,1061,928,706,838,720,447,224,26,4
서울특별시 성동구 송정동(1120072000),10628,10628,512,565,1701,1606,1528,1944,1663,757,309,43,0,5618,5618,265,306,880,879,846,1062,893,356,120,11,0,5010,5010,247,259,821,727,682,882,770,401,189,32,0
서울특별시 성동구 용답동(1120079000),11869,11869,401,606,2224,1715,1668,2139,1656,1004,415,40,1,6197,6197,208,307,1002,922,945,1263,915,469,160,6,0,5672,5672,193,299,1222,793,723,876,741,535,255,34,1
서울특별시 광진구 (1121500000),343006,343006,18733,25430,62496,55324,51659,53974,43036,22072,9024,1185,73,165555,165555,9538,12903,29255,27408,25478,26421,20488,10147,3571,327,19,177451,177451,9195,12527,33241,27916,26181,27553,22548,11925,5453,858,54
서울특별시 광진구 화양동(1121571000),22854,22854,370,752,9875,4415,2180,2062,1733,998,411,53,5,10892,10892,175,346,4262,2334,1209,1114,809,458,169,15,1,11962,11962,195,406,5613,2081,971,948,924,540,242,38,4
서울특별시 광진구 군자동(1121573000),19790,19790,844,1008,4520,3629,2585,2874,2386,1339,540,61,4,9749,9749,440,522,2121,1865,1348,1449,1153,627,214,10,0,10041,10041,404,486,2399,1764,1237,1425,1233,712,326,51,4
서울특별시 광진구 중곡제1동(1121574000),15575,15575,720,728,2843,2969,2155,2450,2108,1145,402,54,1,7574,7574,367,372,1278,1519,1119,1214,995,524,175,10,1,8001,8001,353,356,1565,1450,1036,1236,1113,621,227,44,0
서울특별시 광진구 중곡제2동(1121575000),21696,21696,1148,1356,3879,3876,2967,3525,2911,1456,507,69,2,10245,10245,586,685,1701,1889,1467,1654,1355,686,209,11,2,11451,11451,562,671,2178,1987,1500,1871,1556,770,298,58,0
서울특별시 광진구 중곡제3동(1121576000),16382,16382,738,916,2662,2674,2283,2882,2403,1274,482,62,6,8123,8123,409,471,1297,1394,1169,1428,1170,586,182,16,1,8259,8259,329,445,1365,1280,1114,1454,1233,688,300,46,5
서울특별시 광진구 중곡제4동(1121577000),28912,28912,1381,1902,4395,4318,4075,5256,4435,2263,775,100,12,14172,14172,720,1016,2205,2175,2068,2508,2085,1060,308,23,4,14740,14740,661,886,2190,2143,2007,2748,2350,1203,467,77,8
서울특별시 광진구 능동(1121578000),11406,11406,540,530,2362,2604,1612,1409,1266,744,295,42,2,5220,5220,273,270,1006,1150,821,651,573,334,124,18,0,6186,6186,267,260,1356,1454,791,758,693,410,171,24,2
서울특별시 광진구 광장동(1121581000),35120,35120,3187,5462,4085,3730,7603,5553,3075,1449,833,138,5,16986,16986,1666,2774,2031,1619,3493,2830,1529,663,338,41,2,18134,18134,1521,2688,2054,2111,4110,2723,1546,786,495,97,3
